Month,Date,Datetime,Settlement_Period,Demand_Forecast,Demand_Outturn,TRIAD_Avoidance_Estimate,TRIAD_Avoidance_Corrected_Demand_Outturn,APE,Absolute_Error,Publish_Datetime
Dec,2024-12-31,2025-01-01 00:00:00+00:00,48,20580,20680,0,20680,0.5,100,2024-12-30T08:45:00Z
Jan,2025-01-01,2025-01-01 00:30:00+00:00,1,20910,20949,0,20949,0.2,39,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 01:00:00+00:00,2,20860,21129,0,21129,1.3,269,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 01:30:00+00:00,3,20679,21266,0,21266,2.8,587,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 02:00:00+00:00,4,20145,20356,0,20356,1.0,211,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 02:30:00+00:00,5,19553,19508,0,19508,0.2,45,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 03:00:00+00:00,6,19046,19098,0,19098,0.3,52,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 03:30:00+00:00,7,18665,18763,0,18763,0.5,98,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 04:00:00+00:00,8,18128,18335,0,18335,1.1,207,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 04:30:00+00:00,9,17854,17725,0,17725,0.7,129,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 05:00:00+00:00,10,17750,17463,0,17463,1.6,287,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 05:30:00+00:00,11,17873,17283,0,17283,3.4,590,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 06:00:00+00:00,12,18054,17538,0,17538,2.9,516,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 06:30:00+00:00,13,18632,18538,0,18538,0.5,94,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 07:00:00+00:00,14,19054,18669,0,18669,2.1,385,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 07:30:00+00:00,15,19751,19291,0,19291,2.4,460,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 08:00:00+00:00,16,20150,19384,0,19384,4.0,766,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 08:30:00+00:00,17,20933,19971,0,19971,4.8,962,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 09:00:00+00:00,18,21967,20721,0,20721,6.0,1246,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 09:30:00+00:00,19,23160,22220,0,22220,4.2,940,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 10:00:00+00:00,20,24107,23172,0,23172,4.0,935,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 10:30:00+00:00,21,25314,24619,0,24619,2.8,695,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 11:00:00+00:00,22,26318,25262,0,25262,4.2,1056,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 11:30:00+00:00,23,27455,26954,0,26954,1.9,501,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 12:00:00+00:00,24,28680,27652,0,27652,3.7,1028,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 12:30:00+00:00,25,29386,28727,0,28727,2.3,659,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 13:00:00+00:00,26,29560,29300,0,29300,0.9,260,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 13:30:00+00:00,27,29837,29763,0,29763,0.2,74,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 14:00:00+00:00,28,29820,29771,0,29771,0.2,49,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 14:30:00+00:00,29,29867,29944,0,29944,0.3,77,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 15:00:00+00:00,30,30150,30329,0,30329,0.6,179,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 15:30:00+00:00,31,30499,30711,0,30711,0.7,212,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 16:00:00+00:00,32,31016,30959,0,30959,0.2,57,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 16:30:00+00:00,33,32239,32203,0,32203,0.1,36,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 17:00:00+00:00,34,33172,33575,0,33575,1.2,403,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 17:30:00+00:00,35,33690,33919,0,33919,0.7,229,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 18:00:00+00:00,36,33601,33908,0,33908,0.9,307,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 18:30:00+00:00,37,32902,33458,0,33458,1.7,556,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 19:00:00+00:00,38,32262,32851,0,32851,1.8,589,2024-12-31T08:45:00Z
