Datetime,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_SOLAR_GENERATION,GENERATION,RENEWABLE,FOSSIL,CARBON_INTENSITY,Demand_Forecast,Demand_Outturn,Absolute_Error,APE,Renewable_share,Demand_Spike,Forecast_Failure,Low_Renewable_Window,High_Carbon_Period
2025-01-01 00:00:00,21036,26215,19918,5405,0,32289.0,21995.0,3711.0,51.0,20580,20680,100,0.5,68.1191737124098,False,False,False,False
2025-01-01 00:30:00,21222,26063,20167,5358,0,32162.0,21472.0,3935.0,55.0,20910,20949,39,0.2,66.76201728748212,False,False,False,False
2025-01-01 01:00:00,21385,25734,20328,5237,0,31799.0,21094.0,3769.0,54.0,20860,21129,269,1.3,66.33541935280984,False,False,False,False
2025-01-01 01:30:00,20473,24988,19460,5115,0,31097.0,20561.0,3719.0,54.0,20679,21266,587,2.8,66.11891822362286,False,False,False,False
2025-01-01 02:00:00,19634,24912,18654,5080,0,30791.0,20537.0,3675.0,53.0,20145,20356,211,1.0,66.69806112175635,False,False,False,False
2025-01-01 02:30:00,19214,24562,18248,5044,0,30490.0,20845.0,3260.0,48.0,19553,19508,45,0.2,68.36667759921285,False,False,False,False
2025-01-01 03:00:00,18874,24258,17855,4972,0,29904.0,20638.0,3012.0,46.0,19046,19098,52,0.3,69.01417870518995,False,False,False,False
2025-01-01 03:30:00,18448,24015,17367,4900,0,29914.0,20768.0,2974.0,45.0,18665,18763,98,0.5,69.42568696931203,False,False,False,False
2025-01-01 04:00:00,17844,24100,16774,4815,0,29826.0,20741.0,2915.0,45.0,18128,18335,207,1.1,69.53999865888821,False,False,False,False
2025-01-01 04:30:00,17545,23924,16489,4730,0,29496.0,20426.0,2809.0,45.0,17854,17725,129,0.7,69.25006780580418,False,False,False,False
2025-01-01 05:00:00,17383,23985,16289,4594,0,29384.0,20222.0,2928.0,46.0,17750,17463,287,1.6,68.81976585897087,False,False,False,False
2025-01-01 05:30:00,17609,24064,16498,4457,0,29229.0,20266.0,2798.0,44.0,17873,17283,590,3.4,69.33524923876972,False,False,False,False
2025-01-01 06:00:00,18620,24067,17411,4314,0,29304.0,20430.0,2672.0,42.0,18054,17538,516,2.9,69.71744471744472,False,False,False,False
2025-01-01 06:30:00,18757,23989,17485,4171,0,29129.0,20243.0,2662.0,42.0,18632,18538,94,0.5,69.49431837687527,False,False,False,False
2025-01-01 07:00:00,19371,23563,18095,4254,0,29048.0,19734.0,2654.0,42.0,19054,18669,385,2.1,67.93583034976591,False,False,False,False
2025-01-01 07:30:00,19466,23572,18171,4336,0,28716.0,19284.0,2666.0,43.0,19751,19291,460,2.4,67.1541997492687,False,False,False,False
2025-01-01 08:00:00,20047,23638,18688,4600,0,29117.0,19219.0,2602.0,43.0,20150,19384,766,4.0,66.00611326716351,False,False,False,False
2025-01-01 08:30:00,20771,24373,19399,4864,1,29872.0,19694.0,2283.0,42.0,20933,19971,962,4.8,65.9279592929834,False,False,False,False
2025-01-01 09:00:00,22290,25010,20754,4849,29,30862.0,20221.0,2267.0,37.0,21967,20721,1246,6.0,65.52070507420127,False,False,False,False
2025-01-01 09:30:00,23225,25784,21697,4833,117,31549.0,20704.0,2074.0,36.0,23160,22220,940,4.2,65.6249009477321,False,False,False,False
2025-01-01 10:00:00,24685,26796,23023,4715,222,32834.0,20854.0,1954.0,34.0,24107,23172,935,4.0,63.51343119936651,False,False,False,False
2025-01-01 10:30:00,25327,27582,23550,4597,329,33462.0,20802.0,2088.0,38.0,25314,24619,695,2.8,62.16603908911601,False,False,False,False
2025-01-01 11:00:00,26995,29359,25023,4448,377,34056.0,20728.0,1826.0,32.0,26318,25262,1056,4.2,60.864458538877145,False,False,False,False
2025-01-01 11:30:00,27723,29852,25618,4298,436,34325.0,20766.0,1833.0,33.0,27455,26954,501,1.9,60.49817916970138,False,False,False,False
2025-01-01 12:00:00,28785,30144,26600,4270,475,34543.0,20710.0,2062.0,35.0,28680,27652,1028,3.7,59.95425990794083,False,False,False,False
2025-01-01 12:30:00,29386,30688,27073,4241,476,35017.0,20834.0,2343.0,38.0,29386,28727,659,2.3,59.49681583231003,False,False,False,False
2025-01-01 13:00:00,29865,31056,27517,4007,511,35441.0,21109.0,2397.0,38.0,29560,29300,260,0.9,59.560960469512715,False,False,False,False
2025-01-01 13:30:00,29858,31145,27419,3772,510,35471.0,20679.0,2649.0,42.0,29837,29763,74,0.2,58.29832821177864,False,False,False,False
2025-01-01 14:00:00,29999,31271,27504,3541,353,35157.0,20297.0,2496.0,41.0,29820,29771,49,0.2,57.73245726313394,False,False,False,False
2025-01-01 14:30:00,30406,31648,27807,3310,198,35171.0,19220.0,3072.0,49.0,29867,29944,77,0.3,54.64729464615734,False,False,False,False
2025-01-01 15:00:00,30780,32235,28104,3140,71,35566.0,17818.0,4425.0,65.0,30150,30329,179,0.6,50.09840859247596,False,False,False,False
2025-01-01 15:30:00,31036,32569,28258,2969,5,35707.0,17000.0,5057.0,73.0,30499,30711,212,0.7,47.60971238132579,False,False,False,False
2025-01-01 16:00:00,32260,33833,29332,2734,0,36728.0,17492.0,5206.0,75.0,31016,30959,57,0.2,47.625789588324984,False,False,False,False
2025-01-01 16:30:00,33636,35226,30573,2499,0,38078.0,17638.0,6207.0,84.0,32239,32203,36,0.1,46.3207101213299,False,False,False,False
2025-01-01 17:00:00,34021,35612,30977,2340,0,38202.0,17218.0,6570.0,88.0,33172,33575,403,1.2,45.0709386943092,False,False,False,False
2025-01-01 17:30:00,34014,35605,31045,2181,0,38008.0,17009.0,6578.0,89.0,33690,33919,229,0.7,44.75110503051989,False,False,False,False
2025-01-01 18:00:00,33569,35157,30715,2081,0,37442.0,16440.0,6635.0,90.0,33601,33908,307,0.9,43.9079109021954,False,False,False,False
2025-01-01 18:30:00,32966,34558,30142,1980,0,36829.0,16067.0,6572.0,90.0,32902,33458,556,1.7,43.62594694398436,False,False,False,False
2025-01-01 19:00:00,32273,33867,29570,1882,0,35979.0,15580.0,6397.0,89.0,32262,32851,589,1.8,43.30303788320965,False,False,False,False
2025-01-01 19:30:00,31660,33255,28965,1783,0,35292.0,15146.0,6313.0,88.0,31563,32147,584,1.8,42.916241641165136,False,False,False,False
2025-01-01 20:00:00,31110,32704,28445,1730,0,34649.0,14626.0,6285.0,88.0,30342,31552,1210,3.8,42.211896447227915,False,False,False,False
2025-01-01 20:30:00,29907,31503,27382,1676,0,33393.0,13677.0,5947.0,88.0,29807,30981,1174,3.8,40.95768574252089,False,False,False,False
2025-01-01 21:00:00,28916,30510,26484,1631,0,32288.0,13176.0,5259.0,83.0,29480,29783,303,1.0,40.80773042616452,False,False,False,False
2025-01-01 21:30:00,27676,29268,25340,1586,0,31156.0,12579.0,4704.0,79.0,28556,28784,228,0.8,40.37424573115933,False,False,False,False
2025-01-01 22:00:00,26773,28361,24526,1526,0,30186.0,12285.0,4188.0,74.0,27472,27548,76,0.3,40.69767441860465,False,False,False,False
2025-01-01 22:30:00,25523,27087,23266,1466,0,28840.0,11443.0,3795.0,71.0,26666,26631,35,0.1,39.67753120665742,False,False,False,False
2025-01-01 23:00:00,24513,25957,22276,1460,0,27797.0,11176.0,3023.0,62.0,25708,25408,300,1.2,40.205777601899484,False,False,False,False
2025-01-01 23:30:00,23688,25042,21513,1453,0,27101.0,10764.0,2740.0,60.0,24477,24382,95,0.4,39.71809158333641,False,False,False,False
2025-01-02 00:00:00,23560,24740,21449,1512,0,26555.0,10138.0,2735.0,67.0,23600,23568,32,0.1,38.177367727358316,False,False,False,False
2025-01-02 00:30:00,24268,25354,22173,1571,0,26993.0,10251.0,2889.0,70.0,24240,23482,758,3.2,37.97651242914829,False,False,False,False
2025-01-02 01:00:00,23892,24943,21806,1595,0,26624.0,10004.0,2809.0,70.0,24590,24192,398,1.6,37.57512019230769,False,False,False,False
2025-01-02 01:30:00,23178,24364,21180,1619,0,26329.0,10313.0,2366.0,62.0,24147,23774,373,1.6,39.16973679213035,False,False,False,False
2025-01-02 02:00:00,22879,24317,20877,1638,0,26326.0,10788.0,2052.0,57.0,23511,23053,458,2.0,40.97850034186736,False,False,False,False
2025-01-02 02:30:00,22398,23904,20476,1656,0,25733.0,9976.0,2158.0,61.0,23041,22767,274,1.2,38.76734154587494,False,False,False,False
2025-01-02 03:00:00,22024,23942,20043,1665,0,25976.0,10157.0,2115.0,60.0,22600,22285,315,1.4,39.10147828765014,False,False,False,False
2025-01-02 03:30:00,21955,23983,19939,1673,0,26373.0,10767.0,2107.0,57.0,22107,21904,203,0.9,40.82584461380957,False,False,False,False
2025-01-02 04:00:00,21955,23958,19995,1643,0,26368.0,10212.0,2436.0,63.0,21629,21866,237,1.1,38.72876213592233,False,False,False,False
2025-01-02 04:30:00,21857,24159,19935,1612,0,26666.0,10531.0,2590.0,64.0,21397,21845,448,2.1,39.49223730593265,False,False,False,False
2025-01-02 05:00:00,22329,24630,20405,1675,0,26820.0,10677.0,2908.0,67.0,21300,21771,471,2.2,39.80984340044743,False,False,False,False
