"Month","Date","Datetime","Settlement_Period","Demand_Forecast","Demand_Outturn","TRIAD_Avoidance_Estimate","TRIAD_Avoidance_Corrected_Demand_Outturn","APE","Absolute_Error","Publish_Datetime"
"Apr",2021-04-01,"2021-04-01T00:30:00Z",1,21570,19970,0,19970,8,1600,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T01:00:00Z",2,21130,20030,0,20030,5.5,1100,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T01:30:00Z",3,21272,20499,0,20499,3.8,773,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T02:00:00Z",4,21600,20940,0,20940,3.2,660,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T02:30:00Z",5,21478,20682,0,20682,3.8,796,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T03:00:00Z",6,20992,20315,0,20315,3.3,677,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T03:30:00Z",7,20695,19998,0,19998,3.5,697,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T04:00:00Z",8,20464,19747,0,19747,3.6,717,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T04:30:00Z",9,20450,19618,0,19618,4.2,832,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T05:00:00Z",10,20806,19527,0,19527,6.5,1279,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T05:30:00Z",11,21675,20194,0,20194,7.3,1481,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T06:00:00Z",12,22750,21182,0,21182,7.4,1568,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T06:30:00Z",13,24614,23376,0,23376,5.3,1238,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T07:00:00Z",14,26687,25130,0,25130,6.2,1557,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T07:30:00Z",15,29266,27871,0,27871,5,1395,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T08:00:00Z",16,30326,29379,0,29379,3.2,947,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T08:30:00Z",17,30950,30165,0,30165,2.6,785,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T09:00:00Z",18,30755,30277,0,30277,1.6,478,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T09:30:00Z",19,30560,30747,0,30747,0.6,187,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T10:00:00Z",20,29890,30425,0,30425,1.8,535,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T10:30:00Z",21,29276,29860,0,29860,2,584,"2021-03-31T08:45:00Z"
"Apr",2021-04-01,"2021-04-01T11:00:00Z",22,28660,29409,0,29409,2.5,749,"2021-03-31T08:45:00Z"
