incident_id,timestamp,incident_type,severity,owner,notification_group,escalation_path
INC-00001,2025-01-01 00:00:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00002,2025-01-01 00:30:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00003,2025-01-01 01:00:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00004,2025-01-01 01:30:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00005,2025-01-01 02:00:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00006,2025-01-01 02:30:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00007,2025-01-01 03:00:00,OVER_GENERATION_INCIDENT,Low,Operator,Operations Team,Operator
INC-00008,2025-01-01 03:00:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00009,2025-01-01 03:30:00,OVER_GENERATION_INCIDENT,Low,Operator,Operations Team,Operator
INC-00010,2025-01-01 03:30:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00011,2025-01-01 04:00:00,OVER_GENERATION_INCIDENT,Low,Operator,Operations Team,Operator
INC-00012,2025-01-01 04:00:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00013,2025-01-01 04:30:00,OVER_GENERATION_INCIDENT,Low,Operator,Operations Team,Operator
INC-00014,2025-01-01 05:00:00,OVER_GENERATION_INCIDENT,Low,Operator,Operations Team,Operator
INC-00015,2025-01-01 05:30:00,OVER_GENERATION_INCIDENT,Low,Operator,Operations Team,Operator
INC-00016,2025-01-01 06:00:00,OVER_GENERATION_INCIDENT,Low,Operator,Operations Team,Operator
INC-00017,2025-01-01 06:30:00,OVER_GENERATION_INCIDENT,Low,Operator,Operations Team,Operator
INC-00018,2025-01-01 09:30:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00019,2025-01-01 10:00:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00020,2025-01-01 10:30:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00021,2025-01-01 11:00:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00022,2025-01-01 11:30:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
