timestamp,event_type,incident_id,details
2025-01-01 00:00:00,Incident Created,INC-00001,CURTAILMENT_RISK_INCIDENT
2025-01-01 00:00:00,Escalated,INC-00001,Supervisor
2025-01-01 00:30:00,Incident Created,INC-00002,CURTAILMENT_RISK_INCIDENT
2025-01-01 00:30:00,Escalated,INC-00002,Supervisor
2025-01-01 01:00:00,Incident Created,INC-00003,CURTAILMENT_RISK_INCIDENT
2025-01-01 01:00:00,Escalated,INC-00003,Supervisor
2025-01-01 01:30:00,Escalated,INC-00004,Supervisor
2025-01-01 01:30:00,Incident Created,INC-00004,CURTAILMENT_RISK_INCIDENT
2025-01-01 02:00:00,Resolved,INC-00001,Incident Closed
2025-01-01 02:00:00,Incident Created,INC-00005,CURTAILMENT_RISK_INCIDENT
2025-01-01 02:00:00,Escalated,INC-00005,Supervisor
2025-01-01 02:30:00,Resolved,INC-00002,Incident Closed
2025-01-01 02:30:00,Escalated,INC-00006,Supervisor
2025-01-01 02:30:00,Incident Created,INC-00006,CURTAILMENT_RISK_INCIDENT
2025-01-01 03:00:00,Resolved,INC-00003,Incident Closed
2025-01-01 03:00:00,Escalated,INC-00007,Operator
2025-01-01 03:00:00,Incident Created,INC-00007,OVER_GENERATION_INCIDENT
2025-01-01 03:00:00,Incident Created,INC-00008,CURTAILMENT_RISK_INCIDENT
2025-01-01 03:00:00,Escalated,INC-00008,Supervisor
2025-01-01 03:30:00,Resolved,INC-00004,Incident Closed
2025-01-01 03:30:00,Incident Created,INC-00009,OVER_GENERATION_INCIDENT
2025-01-01 03:30:00,Escalated,INC-00009,Operator
2025-01-01 03:30:00,Escalated,INC-00010,Supervisor
2025-01-01 03:30:00,Incident Created,INC-00010,CURTAILMENT_RISK_INCIDENT
2025-01-01 04:00:00,Resolved,INC-00005,Incident Closed
2025-01-01 04:00:00,Escalated,INC-00011,Operator
2025-01-01 04:00:00,Incident Created,INC-00011,OVER_GENERATION_INCIDENT
2025-01-01 04:00:00,Incident Created,INC-00012,CURTAILMENT_RISK_INCIDENT
2025-01-01 04:00:00,Escalated,INC-00012,Supervisor
2025-01-01 04:30:00,Resolved,INC-00006,Incident Closed
2025-01-01 04:30:00,Incident Created,INC-00013,OVER_GENERATION_INCIDENT
2025-01-01 04:30:00,Escalated,INC-00013,Operator
2025-01-01 05:00:00,Resolved,INC-00007,Incident Closed
2025-01-01 05:00:00,Resolved,INC-00008,Incident Closed
2025-01-01 05:00:00,Escalated,INC-00014,Operator
2025-01-01 05:00:00,Incident Created,INC-00014,OVER_GENERATION_INCIDENT
2025-01-01 05:30:00,Resolved,INC-00009,Incident Closed
2025-01-01 05:30:00,Resolved,INC-00010,Incident Closed
2025-01-01 05:30:00,Escalated,INC-00015,Operator
2025-01-01 05:30:00,Incident Created,INC-00015,OVER_GENERATION_INCIDENT
2025-01-01 06:00:00,Resolved,INC-00011,Incident Closed
2025-01-01 06:00:00,Resolved,INC-00012,Incident Closed
2025-01-01 06:00:00,Escalated,INC-00016,Operator
2025-01-01 06:00:00,Incident Created,INC-00016,OVER_GENERATION_INCIDENT
2025-01-01 06:30:00,Resolved,INC-00013,Incident Closed
2025-01-01 06:30:00,Escalated,INC-00017,Operator
2025-01-01 06:30:00,Incident Created,INC-00017,OVER_GENERATION_INCIDENT
2025-01-01 07:00:00,Resolved,INC-00014,Incident Closed
2025-01-01 07:30:00,Resolved,INC-00015,Incident Closed
2025-01-01 08:00:00,Resolved,INC-00016,Incident Closed
2025-01-01 08:30:00,Resolved,INC-00017,Incident Closed
