timestamp,signal_name,severity,reason,supporting_metric,confidence,impact_area,owner,resolution_target,operational_consequence
2025-01-02 15:30:00,Demand Spike,High,Demand exceeded spike threshold,38264.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-02 16:00:00,Demand Spike,High,Demand exceeded spike threshold,39309.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-02 16:30:00,Demand Spike,High,Demand exceeded spike threshold,40412.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-02 17:00:00,Demand Spike,High,Demand exceeded spike threshold,41103.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-02 17:30:00,Demand Spike,High,Demand exceeded spike threshold,41589.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-02 18:00:00,Demand Spike,High,Demand exceeded spike threshold,41707.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-02 18:30:00,Demand Spike,High,Demand exceeded spike threshold,41274.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-02 19:00:00,Demand Spike,High,Demand exceeded spike threshold,40726.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-02 19:30:00,Demand Spike,High,Demand exceeded spike threshold,39329.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-03 15:00:00,Demand Spike,High,Demand exceeded spike threshold,38831.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-03 15:30:00,Demand Spike,High,Demand exceeded spike threshold,39451.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-03 16:00:00,Demand Spike,High,Demand exceeded spike threshold,40286.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-03 16:30:00,Demand Spike,High,Demand exceeded spike threshold,41932.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-03 17:00:00,Demand Spike,High,Demand exceeded spike threshold,42419.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-03 17:30:00,Demand Spike,High,Demand exceeded spike threshold,42028.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-03 18:00:00,Demand Spike,High,Demand exceeded spike threshold,41300.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-03 18:30:00,Demand Spike,High,Demand exceeded spike threshold,40957.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-03 19:00:00,Demand Spike,High,Demand exceeded spike threshold,40127.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-03 19:30:00,Demand Spike,High,Demand exceeded spike threshold,39311.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-04 16:30:00,Demand Spike,High,Demand exceeded spike threshold,39070.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-04 17:00:00,Demand Spike,High,Demand exceeded spike threshold,40032.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-04 17:30:00,Demand Spike,High,Demand exceeded spike threshold,40185.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-04 18:00:00,Demand Spike,High,Demand exceeded spike threshold,39901.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-04 18:30:00,Demand Spike,High,Demand exceeded spike threshold,39454.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-04 19:00:00,Demand Spike,High,Demand exceeded spike threshold,38285.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-05 16:30:00,Demand Spike,High,Demand exceeded spike threshold,38739.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-05 17:00:00,Demand Spike,High,Demand exceeded spike threshold,39049.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-05 17:30:00,Demand Spike,High,Demand exceeded spike threshold,39025.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 09:30:00,Demand Spike,High,Demand exceeded spike threshold,38169.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 10:00:00,Demand Spike,High,Demand exceeded spike threshold,38435.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 10:30:00,Demand Spike,High,Demand exceeded spike threshold,38316.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 11:00:00,Demand Spike,High,Demand exceeded spike threshold,38263.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 11:30:00,Demand Spike,High,Demand exceeded spike threshold,38266.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 12:00:00,Demand Spike,High,Demand exceeded spike threshold,38608.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 12:30:00,Demand Spike,High,Demand exceeded spike threshold,38509.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 13:00:00,Demand Spike,High,Demand exceeded spike threshold,38642.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 13:30:00,Demand Spike,High,Demand exceeded spike threshold,38309.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 14:00:00,Demand Spike,High,Demand exceeded spike threshold,38220.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 14:30:00,Demand Spike,High,Demand exceeded spike threshold,38375.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 15:00:00,Demand Spike,High,Demand exceeded spike threshold,39120.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 15:30:00,Demand Spike,High,Demand exceeded spike threshold,40088.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 16:00:00,Demand Spike,High,Demand exceeded spike threshold,41071.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 16:30:00,Demand Spike,High,Demand exceeded spike threshold,42136.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 17:00:00,Demand Spike,High,Demand exceeded spike threshold,42615.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 17:30:00,Demand Spike,High,Demand exceeded spike threshold,42549.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 18:00:00,Demand Spike,High,Demand exceeded spike threshold,42317.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 18:30:00,Demand Spike,High,Demand exceeded spike threshold,41515.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 19:00:00,Demand Spike,High,Demand exceeded spike threshold,40749.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-06 19:30:00,Demand Spike,High,Demand exceeded spike threshold,39662.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 08:00:00,Demand Spike,High,Demand exceeded spike threshold,38699.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 08:30:00,Demand Spike,High,Demand exceeded spike threshold,39099.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 09:00:00,Demand Spike,High,Demand exceeded spike threshold,40002.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 09:30:00,Demand Spike,High,Demand exceeded spike threshold,39865.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 10:00:00,Demand Spike,High,Demand exceeded spike threshold,39418.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 10:30:00,Demand Spike,High,Demand exceeded spike threshold,38695.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 11:00:00,Demand Spike,High,Demand exceeded spike threshold,38593.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 11:30:00,Demand Spike,High,Demand exceeded spike threshold,38375.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 12:00:00,Demand Spike,High,Demand exceeded spike threshold,38358.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 12:30:00,Demand Spike,High,Demand exceeded spike threshold,38280.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 13:00:00,Demand Spike,High,Demand exceeded spike threshold,38632.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 13:30:00,Demand Spike,High,Demand exceeded spike threshold,38494.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 14:00:00,Demand Spike,High,Demand exceeded spike threshold,38521.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 14:30:00,Demand Spike,High,Demand exceeded spike threshold,38823.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 15:00:00,Demand Spike,High,Demand exceeded spike threshold,39877.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 15:30:00,Demand Spike,High,Demand exceeded spike threshold,40794.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 16:00:00,Demand Spike,High,Demand exceeded spike threshold,42027.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 16:30:00,Demand Spike,High,Demand exceeded spike threshold,43317.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 17:00:00,Demand Spike,High,Demand exceeded spike threshold,44559.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 17:30:00,Demand Spike,High,Demand exceeded spike threshold,44730.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 18:00:00,Demand Spike,High,Demand exceeded spike threshold,44067.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 18:30:00,Demand Spike,High,Demand exceeded spike threshold,43685.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 19:00:00,Demand Spike,High,Demand exceeded spike threshold,42803.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 19:30:00,Demand Spike,High,Demand exceeded spike threshold,41656.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 20:00:00,Demand Spike,High,Demand exceeded spike threshold,40457.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-07 20:30:00,Demand Spike,High,Demand exceeded spike threshold,38699.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-08 07:30:00,Demand Spike,High,Demand exceeded spike threshold,39701.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-08 08:00:00,Demand Spike,High,Demand exceeded spike threshold,41247.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-08 08:30:00,Demand Spike,High,Demand exceeded spike threshold,41910.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-08 09:00:00,Demand Spike,High,Demand exceeded spike threshold,42895.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-08 09:30:00,Demand Spike,High,Demand exceeded spike threshold,42870.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-08 10:00:00,Demand Spike,High,Demand exceeded spike threshold,42930.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
2025-01-08 10:30:00,Demand Spike,High,Demand exceeded spike threshold,42922.0,High,Grid Demand,Regional Controller,2 Hours,Potential grid stress due to elevated demand
